"SECONDS";"PID";"VALUE";"UNITS"
"36292.499482";"Engine RPM";"895";"rpm"
"36292.785482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.5234375";"mA"
"36292.785482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.1850768";""
"36293.343482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36293.343482";"Throttle position";"27.0588235294118";"%"
"36293.619482";"Average fuel consumption";"11.4268367782305";"L/100km"
"36293.619482";"Average fuel consumption (total)";"29.1470406669614";"L/100km"
"36293.619482";"Calculated boost";"2.21230457805817";"bar"
"36293.619482";"Calculated instant fuel rate";"12.0210623374591";"L/h"
"36293.619482";"Fuel used";"0.0365295000189973";"L"
"36293.619482";"Fuel used (total)";"0.0931777396720949";"L"
"36293.619482";"Fuel used price";"0.0368947950191873";"$"
"36293.619482";"Fuel used price (total)";"0.06";"$"
"36293.619482";"Instant engine power (based on fuel consumption)";"34.5896051208439";"hp"
"36293.619482";"MAF air flow rate";"32.14";"g/sec"
"36293.899482";"Average speed";"38.8396125574973";"km/h"
"36293.899482";"Calculated instant fuel consumption";"66.7836796525508";"L/100km"
"36293.899482";"Distance travelled";"0.328074627555555";"km"
"36293.899482";"Distance travelled (total)";"0.328074627555555";"km"
"36293.899482";"Vehicle speed";"18";"km/h"
"36294.193482";"Engine RPM";"2042";"rpm"
"36294.472482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.0234375";"mA"
"36294.472482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.6484912";""
"36295.028482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36295.028482";"Throttle position";"29.4117647058824";"%"
"36295.304482";"Average fuel consumption";"13.0335530493882";"L/100km"
"36295.304482";"Average fuel consumption (total)";"30.3004292096011";"L/100km"
"36295.304482";"Calculated boost";"0.609641220743876";"bar"
"36295.304482";"Calculated instant fuel rate";"13.3080235426175";"L/h"
"36295.304482";"Fuel used";"0.0427597806240359";"L"
"36295.304482";"Fuel used (total)";"0.0994080202771335";"L"
"36295.304482";"Fuel used price";"0.0431873784302763";"$"
"36295.304482";"Fuel used price (total)";"0.06";"$"
"36295.304482";"Instant engine power (based on fuel consumption)";"38.2927287419199";"hp"
"36295.304482";"MAF air flow rate";"39.53";"g/sec"
"36295.582482";"Average speed";"38.4285456193947";"km/h"
"36295.582482";"Calculated instant fuel consumption";"42.9291082019918";"L/100km"
"36295.582482";"Distance travelled";"0.342564603638889";"km"
"36295.582482";"Distance travelled (total)";"0.342564603638889";"km"
"36295.582482";"Vehicle speed";"31";"km/h"
"36295.860482";"Engine RPM";"2176";"rpm"
"36296.137482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.1171875";"mA"
"36296.137482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.3328528";""
"36296.689482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36296.689482";"Throttle position";"27.0588235294118";"%"
"36296.967482";"Average fuel consumption";"13.9276145976584";"L/100km"
"36296.967482";"Average fuel consumption (total)";"30.4641274338803";"L/100km"
"36296.967482";"Calculated boost";"0.187235426593008";"bar"
"36296.967482";"Calculated instant fuel rate";"10.7212259533327";"L/h"
"36296.967482";"Fuel used";"0.0477110777428204";"L"
"36296.967482";"Fuel used (total)";"0.104359317395918";"L"
"36296.967482";"Fuel used price";"0.0481881885202487";"$"
"36296.967482";"Fuel used price (total)";"0.06";"$"
"36296.967482";"Instant engine power (based on fuel consumption)";"30.8494342452188";"hp"
"36296.967482";"MAF air flow rate";"31.16";"g/sec"
"36297.245482";"Average speed";"38.5059968880869";"km/h"
"36297.245482";"Calculated instant fuel consumption";"26.8030648833318";"L/100km"
"36297.245482";"Distance travelled";"0.361049863638889";"km"
"36297.245482";"Distance travelled (total)";"0.361049863638889";"km"
"36297.245482";"Vehicle speed";"40";"km/h"
"36297.533482";"Engine RPM";"2173";"rpm"
"36297.833482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.2109375";"mA"
"36297.833482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.0315616";""
"36339.287482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.0546875";"mA"
"36339.287482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.5337136";""
"36339.841482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36339.841482";"Throttle position";"23.1372549019608";"%"
"36340.121482";"Calculated instant fuel rate";"6.24678892089152";"L/h"
"36340.121482";"Instant engine power (based on fuel consumption)";"17.9746145541219";"hp"
"36340.121482";"MAF air flow rate";"18.41";"g/sec"
"36340.404482";"Calculated instant fuel consumption";"13.5799759149816";"L/100km"
"36340.404482";"Vehicle acceleration";"0.23636523645671";"m_sec2"
"36340.404482";"Vehicle speed";"46";"km/h"
"36343.459482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36343.459482";"Throttle position";"28.2352941176471";"%"
